gene_name	number_of_transposon_per_gene	number_of_read_pergene
SRP14 	9 	175 	
UBX3 	34 	350 	
RAM1 	4 	7 	
NUR1 	36 	532 	
ASM4 	19 	127 	
LUC7 	8 	42 	
YDL086W 	35 	1018 	
YDL086C-A 	23 	778 	
YDL085C-A 	7 	193 	
NDE2 	41 	678 	
SUB2 	2 	1 	
RPS16B 	14 	141 	
RPL13A 	16 	131 	
RPP1A 	4 	13 	
THI3 	42 	627 	
MRK1 	48 	428 	
MDH3 	22 	165 	
VAM6 	6 	22 	
RXT3 	29 	349 	
RPL31A 	0 	0 	
BRE1 	12 	95 	
YDL073W 	43 	500 	
YET3 	9 	90 	
YDL071C 	35 	406 	
BDF2 	50 	480 	
CBS1 	4 	9 	
YDL068W 	0 	0 	
COX9 	0 	0 	
IDP1 	39 	700 	
PEX19 	43 	870 	
UBC9 	1 	0 	
SYO1 	21 	283 	
YDL062W 	8 	57 	
RPS29B 	2 	3 	
TSR1 	1 	0 	
RAD59 	27 	163 	
USO1 	45 	680 	
YDL057W 	53 	885 	
MBP1 	47 	902 	
PSA1 	1 	0 	
MCH1 	62 	1414 	
PBP4 	18 	163 	
SLC1 	38 	731 	
LHP1 	39 	587 	
YDL050C 	17 	232 	
KNH1 	55 	1070 	
STP4 	66 	1586 	
SIT4 	4 	32 	
NPC2 	20 	116 	
MRP10 	7 	31 	
FAD1 	1 	0 	
MTF2 	7 	14 	
PRP11 	4 	7 	
SIR2 	88 	1537 	
YDL041W 	27 	572 	
NAT1 	52 	815 	
PRM7 	27 	418 	
BSC1 	20 	209 	
PUS9 	39 	595 	
GPR1 	33 	427 	
YDL034W 	6 	27 	
SLM3 	63 	1590 	
YDL032W 	15 	25 	
DBP10 	8 	22 	
PRP9 	10 	62 	
ARP2 	2 	1 	
MPS1 	13 	228 	
YDL027C 	37 	495 	
YDL026W 	12 	114 	
RTK1 	43 	430 	
YDL025W-A 	0 	0 	
DIA3 	58 	976 	
YDL022C-A 	21 	620 	
YDL023C 	15 	164 	
GPD1 	59 	1109 	
GPM2 	63 	1052 	
RPN4 	62 	587 	
OSH2 	133 	3271 	
ERP3 	25 	349 	
CDC7 	12 	51 	
YDL016C 	18 	67 	
TSC13 	0 	0 	
NOP1 	0 	0 	
SLX5 	15 	88 	
YDL012C 	37 	848 	
YDL011C 	26 	448 	
GRX6 	46 	725 	
YDL009C 	24 	129 	
APC11 	12 	193 	
YDL007C-A 	18 	157 	
RPT2 	0 	0 	
PTC1 	11 	78 	
MED2 	73 	522 	
ATP16 	0 	0 	
MCD1 	6 	45 	
NHP10 	59 	1016 	
RMD1 	132 	8355 	
NTH1 	228 	7954 	
