gene_name	number_of_transposon_per_gene	number_of_read_pergene
NUP84 	5 	33 	
IWR1 	22 	447 	
YDL114W-A 	0 	0 	
YDL114W 	33 	379 	
ATG20 	35 	424 	
TRM3 	85 	1287 	
RRP42 	1 	0 	
TMA17 	19 	368 	
YDL109C 	57 	1106 	
KIN28 	3 	9 	
MSS2 	39 	539 	
PHO2 	25 	272 	
NSE4 	1 	0 	
QRI7 	34 	442 	
QRI1 	4 	6 	
POL3 	4 	34 	
DUN1 	28 	271 	
GET3 	17 	213 	
BUG1 	28 	272 	
SNU23 	3 	4 	
RPN6 	4 	3 	
OPI6 	8 	217 	
PMT1 	33 	269 	
YDL094C 	22 	844 	
PMT5 	68 	975 	
SRP14 	6 	136 	
UBX3 	36 	647 	
RAM1 	6 	43 	
NUR1 	41 	399 	
ASM4 	30 	346 	
LUC7 	7 	70 	
YDL086W 	42 	921 	
YDL086C-A 	21 	423 	
YDL085C-A 	12 	107 	
NDE2 	44 	739 	
SUB2 	1 	0 	
RPS16B 	16 	132 	
RPL13A 	14 	58 	
RPP1A 	7 	15 	
THI3 	36 	534 	
MRK1 	65 	735 	
MDH3 	34 	289 	
VAM6 	17 	159 	
RXT3 	20 	124 	
RPL31A 	2 	1 	
BRE1 	9 	34 	
YDL073W 	50 	701 	
YET3 	15 	189 	
YDL071C 	29 	555 	
BDF2 	40 	259 	
CBS1 	24 	183 	
YDL068W 	15 	102 	
COX9 	3 	35 	
IDP1 	31 	326 	
PEX19 	38 	451 	
UBC9 	1 	0 	
SYO1 	24 	253 	
YDL062W 	10 	40 	
RPS29B 	2 	1 	
TSR1 	0 	0 	
RAD59 	28 	207 	
USO1 	40 	587 	
YDL057W 	52 	743 	
MBP1 	48 	724 	
PSA1 	3 	8 	
MCH1 	82 	2215 	
PBP4 	23 	174 	
SLC1 	52 	938 	
LHP1 	48 	892 	
YDL050C 	24 	421 	
KNH1 	51 	1214 	
STP4 	72 	1042 	
SIT4 	11 	138 	
NPC2 	22 	169 	
MRP10 	10 	55 	
FAD1 	1 	0 	
MTF2 	30 	315 	
PRP11 	7 	73 	
SIR2 	66 	676 	
YDL041W 	21 	242 	
NAT1 	48 	641 	
PRM7 	48 	456 	
BSC1 	21 	486 	
PUS9 	36 	454 	
GPR1 	47 	665 	
YDL034W 	14 	225 	
SLM3 	72 	1654 	
YDL032W 	17 	88 	
DBP10 	9 	22 	
PRP9 	14 	137 	
ARP2 	1 	0 	
MPS1 	10 	107 	
YDL027C 	46 	590 	
YDL026W 	17 	286 	
RTK1 	64 	954 	
YDL025W-A 	3 	25 	
DIA3 	64 	1009 	
YDL022C-A 	27 	627 	
YDL023C 	22 	273 	
GPD1 	69 	1109 	
GPM2 	66 	1417 	
RPN4 	91 	1116 	
OSH2 	198 	4474 	
ERP3 	26 	481 	
CDC7 	14 	180 	
YDL016C 	19 	235 	
TSC13 	0 	0 	
NOP1 	0 	0 	
SLX5 	32 	180 	
YDL012C 	32 	786 	
YDL011C 	21 	385 	
GRX6 	44 	716 	
YDL009C 	23 	152 	
APC11 	13 	361 	
YDL007C-A 	20 	271 	
RPT2 	0 	0 	
PTC1 	3 	2 	
MED2 	71 	706 	
ATP16 	13 	119 	
MCD1 	6 	98 	
NHP10 	58 	990 	
RMD1 	132 	9279 	
